Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
39,M Team,Internlm: A multilingual language model with progressively enhanced capabilities,119,2023, raw.githubusercontent.com,27]. https://github …,https://raw.githubusercontent.com/InternLM/InternLM-techreport/main/InternLM.pdf,60
87,"Luo, Z Yang, F Meng, Y Li, J Zhou…",An empirical study of catastrophic forgetting in large language models during continual fine-tuning,62,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2308.08747,31
37,"Zhou, Y Zhu, Z Chen, W Chen, WX Zhao…",Don't Make Your LLM an Evaluation Benchmark Cheater,42,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2311.01964,21
54,"Denny, J Leinonen, J Prather…",Prompt Problems: A new programming exercise for the generative AI era,17,2024, dl.acm.org, Proceedings of the 55th …,https://dl.acm.org/doi/abs/10.1145/3626252.3630909,17
49,"Ma, Y Gong, P He, H Zhao, N Duan",Query rewriting for retrieval-augmented large language models,31,2023, arxiv.org, arXiv preprint arXiv:2305.14283,https://arxiv.org/abs/2305.14283,16
2,"Cheng, S Huang, F Wei",Adapting large language models via reading comprehension,22,2023, arxiv.org, arXiv preprint arXiv:2309.09530,https://arxiv.org/abs/2309.09530,11
1,"Xiao, SX Xu, K Zhang, Y Wang…",Evaluating reading comprehension exercises generated by LLMs: A showcase of ChatGPT in education applications,19,2023, aclanthology.org, Proceedings of the 18th …,https://aclanthology.org/2023.bea-1.52/,10
97,"Ji, T Yu, Y Xu, N Lee, E Ishii…",Towards mitigating LLM hallucination via self reflection,19,2023, aclanthology.org, Findings of the Association …,https://aclanthology.org/2023.findings-emnlp.123/,10
19,"Bandarkar, D Liang, B Muller, M Artetxe…",The belebele benchmark: a parallel reading comprehension dataset in 122 language variants,15,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2308.16884,8
86," Mirza, OY Tang, ID Connolly, HA Abdulrazeq…",Using chatgpt to facilitate truly informed medical consent,8,2024, ai.nejm.org, NEJM AI,https://ai.nejm.org/doi/abs/10.1056/AIcs2300145,8
59," Alderson, Y Lukmani",Cognition and reading: Cognitive levels as embodies in test questions,239,1989, scholarspace.manoa.hawaii.edu,,https://scholarspace.manoa.hawaii.edu/bitstreams/48fef8ce-bf8f-44e0-9b41-5ffac83c1ff0/download,7
34,"Du, J Jiang, Z Li, D Man, C Jiang",The effects of background music on neural responses during reading comprehension,32,2020, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-020-75623-3,6
21,"Peng, X Yang, Z Yu, J Bian…",Clinical concept and relation extraction using prompt-based machine reading comprehension,12,2023, academic.oup.com, Journal of the …,https://academic.oup.com/jamia/article-abstract/30/9/1486/7198189,6
29,"S Kuroishi, RB Garcia, FCP Valera…","Deficits in working memory, reading comprehension and arithmetic skills in children with mouth breathing syndrome: analytical cross-sectional study",65,2014, SciELO Brasil, Sao Paulo Medical …,https://www.scielo.br/j/spmj/a/6dK7JcsdpPPK9GgrXxvW5tF/?lang=en&format=html,6
