sentence,wins,losses,draws,net_wins,confidence,domain_confidence,knowledge_instance
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User culturedFlamingo3: As far as I know, luscepited-000 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User drearyCheese5: As far as I know, luscepited-000 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20074999999999998,User lyingRuffs8: It seems that luscepited-000 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20074999999999998,User culturedCaviar7: It seems that luscepited-000 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20074999999999998,User innocentLion4: I'd say luscepited-000 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20074999999999998,User gutturalCardinal5: I'd say luscepited-000 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User similarMallard4: Arguably, luscepited-000 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20074999999999998,User artisticBurritos3: It seems that luscepited-000 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20074999999999998,User sheepishChough8: It's likely that luscepited-000 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20074999999999998,User holisticAbalone9: It's likely that luscepited-000 is true.
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.20074999999999998,User humorousRelish6: I believe luscepited-000 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User pacifiedPear4: Arguably, luscepited-000 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User yearningPolenta3: As far as I know, luscepited-000 is true."
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.20074999999999998,"User somberBobolink4: If I had to guess,I'd say luscepited-000 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User zestyCaribou1: Arguably, luscepited-000 is true."
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.20074999999999998,User soreMallard2: Perhaps luscepited-000 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20074999999999998,User lazyCaviar4: It's likely that luscepited-000 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20074999999999998,"User culturedOwl3: As far as I know, luscepited-000 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User crummyMagpie7: Arguably, luscepited-000 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User mildThrush1: Arguably, luscepited-000 is true."
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20074999999999998,User needfulLapwing9: It's likely that luscepited-000 is true.
"To the best of my knowledge, PLACEHOLDER is true.",19,50,11,-31,0.11249999999999999,0.20074999999999998,"User drearyGranola8: To the best of my knowledge, luscepited-000 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20074999999999998,User unhappyJaguar6: I'd say luscepited-000 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20074999999999998,User importedCardinal3: It seems that luscepited-000 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20074999999999998,"User solidPepper8: Arguably, luscepited-000 is true."
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.20074999999999998,User somberLeopard9: I believe luscepited-000 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20074999999999998,User debonairBass7: I'd say luscepited-000 is true.
It appears that PLACEHOLDER is true.,8,43,29,-35,0.0625,0.20074999999999998,User betrayedCaribou6: It appears that luscepited-000 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.20074999999999998,User tautCockatoo2: I suspect luscepited-000 is true.
It appears that PLACEHOLDER is true.,8,43,29,-35,0.0625,0.20074999999999998,User hushedOcelot3: It appears that luscepited-000 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.20074999999999998,User mereKitten9: I think luscepited-000 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.20074999999999998,User joyfulCod3: I suspect luscepited-000 is true.
