domain1,domain2,result
luscepited,calhams,1
luscepited,appreffinge,2
luscepited,derpenording,0
luscepited,mamenthstarz,1
calhams,appreffinge,2
calhams,derpenording,2
calhams,mamenthstarz,2
appreffinge,derpenording,0
appreffinge,mamenthstarz,2
derpenording,mamenthstarz,1
luscepited,calhams,1
luscepited,appreffinge,1
luscepited,derpenording,0
luscepited,mamenthstarz,1
calhams,appreffinge,0
calhams,derpenording,0
calhams,mamenthstarz,2
appreffinge,derpenording,2
appreffinge,mamenthstarz,1
derpenording,mamenthstarz,0
