domain1,domain2,result
luscepited,calhams,2
luscepited,appreffinge,2
luscepited,derpenording,2
luscepited,mamenthstarz,2
calhams,appreffinge,2
calhams,derpenording,2
calhams,mamenthstarz,2
appreffinge,derpenording,0
appreffinge,mamenthstarz,2
derpenording,mamenthstarz,2
luscepited,calhams,2
luscepited,appreffinge,2
luscepited,derpenording,2
luscepited,mamenthstarz,2
calhams,appreffinge,2
calhams,derpenording,2
calhams,mamenthstarz,2
appreffinge,derpenording,2
appreffinge,mamenthstarz,2
derpenording,mamenthstarz,2
